iter,obj,time
0,1.78254e+06,28
1,1.40678e+06,32
2,1.16166e+06,34
3,966016,33
4,824558,32
5,687655,57
6,522652,35
7,381951,36
8,309542,32
9,273750,31
10,256143,30
11,238016,31
12,222071,31
13,210934,33
14,204038,34
15,199646,34
16,196431,32
17,193708,32
18,191251,32
19,189076,35
20,187257,33
21,185819,31
22,184724,32
23,183904,30
24,183291,30
25,182828,33
26,182474,33
27,182199,34
28,181983,33
29,181811,31
30,181671,31
31,181557,31
32,181463,37
33,181384,37
34,181318,38
35,181261,36
36,181213,31
37,181171,33
38,181134,33
39,181102,35
40,181074,33
41,181049,32
42,181026,32
43,181006,33
44,180989,35
45,180972,35
46,180958,41
47,180944,32
48,180932,30
49,180921,34
50,180911,35
51,180902,35
52,180893,33
53,180885,31
54,180877,30
55,180871,31
56,180864,34
57,180858,33
58,180853,33
59,180847,31
60,180842,31
61,180838,32
62,180833,35
63,180829,34
64,180825,34
65,180822,30
66,180818,30
67,180815,31
68,180812,34
69,180809,34
70,180806,34
71,180803,31
72,180801,32
73,180798,30
74,180796,31
75,180794,34
76,180792,34
77,180790,35
78,180788,32
79,180786,31
80,180784,32
81,180782,32
82,180781,35
83,180779,35
84,180778,29
85,180776,33
86,180775,30
87,180773,34
88,180772,34
89,180771,35
90,180769,32
91,180768,31
92,180767,31
93,180766,32
94,180765,35
95,180764,35
96,180763,34
97,180762,32
98,180761,31
99,180760,31
