iter,obj,time
0,4.33643e+06,178
1,2.45135e+06,181
2,2.33106e+06,336
3,744987,176
4,593927,181
5,476209,181
6,382699,174
7,311475,187
8,253171,185
9,207983,183
10,172832,177
11,147775,179
12,128360,178
13,112878,183
14,101059,180
15,93332.1,177
16,89058.5,182
17,85974.7,179
18,82374,176
19,79783,181
20,77971,180
21,76278.7,179
22,73797.9,178
23,72120.8,181
24,71444.1,176
25,70788,180
26,70378.5,178
27,70010.7,177
28,69645.4,177
29,69274.3,179
30,68883.5,182
31,68444.5,181
32,67894.9,185
33,67070.2,175
34,65942.8,179
35,64495.6,179
36,62729.6,181
37,60715.1,173
38,58756.6,184
39,57646,189
40,56941.4,182
41,56072.8,179
42,55043.4,179
43,53747.1,177
44,53070.6,183
45,52716.6,180
46,52339.2,176
47,51713.8,180
48,50910.6,177
49,50200.3,181
50,49763,181
51,49527.5,175
52,49334.5,184
53,49164.5,178
54,49012.4,179
55,48871.1,178
56,48733.1,179
57,48591.8,178
58,48441.9,179
59,48280.9,184
60,48109.1,182
61,47930.7,182
62,47752.4,187
63,47580.2,176
64,47417.4,184
65,47262.4,184
66,47108.6,181
67,46940.1,184
68,46718.8,178
69,46368.3,177
70,45752.5,183
71,44898.1,178
72,44463.9,176
73,44285.4,180
74,44118.8,178
75,43829.8,187
76,43242.2,178
77,42753.7,179
78,42385.6,179
79,42192.1,178
80,42068.8,178
81,41818.8,176
82,40977.4,183
83,40543.3,178
84,40459.3,175
85,40420.1,183
86,40386.7,182
87,40356.6,180
88,40329,181
89,40302.8,176
90,40276.2,175
91,40246.3,186
92,40205.5,180
93,40131.6,180
94,39970.2,182
95,39742.5,177
96,39613.9,176
97,39556.1,186
98,39514.7,180
99,39480.6,176
