iter,obj,time
0,1.60762e+06,44
1,1.19372e+06,47
2,827527,46
3,533541,48
4,336293,45
5,214344,48
6,160800,95
7,132334,46
8,110629,49
9,90244,50
10,73287.6,53
11,59542.4,47
12,48057.9,48
13,45209.5,48
14,42439,55
15,39777.8,53
16,37571.5,50
17,36123.6,50
18,35343.6,54
19,34945.6,49
20,34733.3,50
21,34613,54
22,34541.8,57
23,34498.3,50
24,34471.2,51
25,34454.2,54
26,34443.3,57
27,34436.3,50
28,34431.9,52
29,34428.9,55
30,34427.1,56
31,34425.8,52
32,34425,51
33,34424.5,56
34,34424.1,56
35,34423.9,51
36,34423.8,51
37,34423.7,54
38,34423.6,56
39,34423.5,52
40,34423.5,51
