iter,obj,time Aggregate time
0,9580.91,106,106
1,9112.97,103,211
2,8870.51,103,315
3,8748.91,102,418
4,8689.79,100,519
5,8661.44,106,627
6,8647.87,120,748
7,8641.31,100,849
8,8638.06,114,965
9,8636.37,102,1069
10,8635.42,105,1176
11,8634.81,103,1280
12,8634.09,111,1393
13,8582.72,101,1496
14,5898.15,103,1601
15,4746.23,103,1705
16,1861.03,103,1810
17,894.729,107,1919
18,885.475,115,2035
19,885.365,100,2137
20,885.363,105,2243
