iter,obj,time Aggregate time
0,2713.34,44,44
1,1721.98,41,87
2,1054.94,39,127
3,738.582,38,167
4,311.272,38,207
5,0.0705832,43,251
6,0.00173267,41,294
7,0.00173253,42,338
8,0.00173253,39,378
