iter,obj,time Aggregate time
0,130552,226,226
1,32453.9,231,460
2,14674.7,232,696
3,10776.4,239,939
4,9032.14,269,1213
5,7902.75,269,1486
6,6960.27,272,1762
7,209.585,251,2019
8,108.812,270,2294
9,108.447,275,2573
10,108.44,252,2829
11,108.44,250,3083
