iter,obj,time Aggregate time
0,515324,467,467
1,111687,456,930
2,54937.7,455,1392
3,28452.4,458,1856
4,18020.5,440,2302
5,13156.1,464,2773
6,10605.8,447,3226
7,9556.63,470,3702
8,9176.94,496,4204
9,9021.83,454,4664
10,8856.56,460,5131
11,6553.03,435,5578
12,2298.87,453,6039
13,1619.79,465,6510
14,1544.16,453,6969
15,1530.69,455,7431
16,1527.96,464,7902
17,1527.37,455,8363
18,1527.24,456,8826
19,1527.21,452,9284
20,1527.2,427,9717
