iter,obj,time Aggregate time
0,6.59442e+06,299,299
1,4.14672e+06,312,613
2,2.73929e+06,318,934
3,1.92616e+06,319,1255
4,1.43254e+06,308,1565
5,1.14015e+06,314,1882
6,939668,307,2191
7,410151,309,2502
8,16116.8,299,2804
9,12243.5,291,3097
10,12191.2,299,3399
11,12188.9,314,3715
12,12188.5,301,4019
13,12188.4,290,4311
