iter,obj,time
0,1.38339e+06,243
1,684042,446
2,340545,248
3,50133.8,243
4,17584.3,245
5,12199.9,243
6,8896.89,247
7,6873.72,253
8,5555.4,244
9,4543.45,247
10,3893.31,253
11,3402.33,246
12,2969.7,245
13,2629.02,245
14,2400.06,245
15,2178.06,249
16,1999.26,244
17,1831.47,248
18,1680.39,245
19,1544.68,244
20,1435.57,244
21,1344.24,245
22,1262.03,243
23,1185.3,246
24,1113.96,244
25,1047.79,245
26,984.856,246
27,924.791,246
28,870.771,251
29,825.949,245
30,788.948,242
31,753.364,249
32,715.424,254
33,681.579,244
34,655.375,244
35,632.841,248
36,612.078,253
37,592.361,245
38,573.627,244
39,555.804,242
40,538.8,244
41,522.413,244
42,506.466,246
43,490.851,244
44,475.556,250
45,460.623,244
46,446.147,245
47,432.26,245
48,419.19,249
49,407.361,251
50,397.264,244
51,388.187,249
52,377.405,241
53,365.629,242
54,356.179,242
55,348.654,244
56,341.805,249
57,335.399,242
58,329.163,241
59,323.092,244
60,317.126,248
61,311.285,241
62,305.563,245
63,299.98,242
64,294.544,243
65,289.268,247
66,284.156,241
67,279.209,244
68,274.422,248
69,269.785,242
70,265.287,250
71,260.918,243
72,256.669,241
73,252.534,247
74,248.515,243
75,244.617,241
76,240.85,240
77,237.229,247
78,233.773,242
79,230.502,242
80,227.436,241
81,224.591,245
82,221.972,243
83,219.578,247
84,217.403,243
85,215.432,240
86,213.649,242
87,212.039,241
88,210.585,244
89,209.271,246
90,208.086,241
91,207.015,242
92,206.047,248
93,205.171,241
94,204.379,243
95,203.66,241
96,203.006,243
97,202.409,250
98,201.861,243
99,201.354,242
