iter,obj,time
0,311436,279
1,220824,778
2,85172.6,282
3,52965.4,290
4,46417.7,275
5,27729.9,275
6,24578.4,280
7,16956,283
8,13820.2,293
9,11547.9,297
10,10066.1,269
11,8615.7,265
12,8352.76,290
13,6853.99,549
14,6313.84,272
15,5931.3,283
16,5626.29,283
17,5362.2,295
18,5087.55,275
19,4801.9,272
20,4620.39,285
21,4052.54,280
22,3588.63,278
23,3369.09,272
24,3252.03,278
25,3212.59,286
26,3188.94,292
27,3170.2,279
28,3153.58,276
29,3138.49,291
30,3124.68,293
31,3111.41,274
32,3096.19,278
33,3066.72,273
34,2970.76,280
35,2905.38,272
36,2900.7,272
37,2897.72,272
38,2895.21,281
39,2892.98,288
40,2890.85,277
41,2888.42,277
42,2884.63,283
43,2875.32,284
44,2845.26,279
45,2805.49,279
46,2791.18,272
47,2787.71,284
48,2785.53,273
49,2782.25,284
50,2776.62,282
51,2766.41,275
52,2748.93,267
53,2725.93,276
54,2706.6,283
55,2695.69,282
56,2690.45,273
57,2687.88,283
58,2686.51,279
59,2685.73,290
60,2685.26,274
61,2684.97,268
62,2684.79,274
63,2684.67,275
64,2684.58,272
65,2684.53,272
66,2684.49,274
67,2684.46,272
68,2684.44,281
69,2684.42,279
70,2684.41,274
71,2684.4,275
72,2684.39,270
73,2684.39,278
74,2684.38,265
75,2684.38,283
76,2684.37,285
77,2684.37,276
78,2684.37,277
79,2684.36,279
