iter,obj,time
0,91166.2,47
1,87896.6,85
2,50601.5,45
3,4920.89,47
4,1935.49,47
5,1374.32,47
6,1068.1,46
7,904.945,47
8,781.578,46
9,673.449,47
10,580.883,46
11,490.028,45
12,418.951,44
13,342.515,45
14,313.553,46
15,265.913,47
16,247.413,47
17,236.913,46
18,226.678,46
19,219.07,46
20,213.147,46
21,208.356,45
22,203.134,47
23,197.412,48
24,193.418,49
25,190.103,45
26,187.216,46
27,184.244,46
28,183.091,48
29,183.081,84
30,183.051,46
31,182.968,44
32,182.757,48
33,182.344,46
34,181.796,46
35,181.192,46
36,180.466,47
37,179.737,46
38,179.028,47
39,178.226,45
40,177.307,46
41,176.527,46
42,176.005,47
43,175.67,48
44,174.787,46
45,174.175,47
46,173.476,47
47,172.823,48
48,172.237,47
49,171.739,45
50,171.113,46
51,170.686,47
52,170.335,47
53,170.037,46
54,169.777,46
55,169.547,46
56,169.34,51
57,169.153,47
58,168.982,45
59,168.825,45
60,168.678,44
61,168.542,47
62,168.413,46
63,168.292,45
64,168.176,45
65,168.066,44
66,167.96,46
67,167.858,46
68,167.758,46
69,167.662,46
70,167.568,44
71,167.476,47
72,167.386,46
73,167.297,47
74,167.209,45
75,167.121,45
76,167.035,47
77,166.948,47
78,166.861,46
79,166.774,44
80,166.687,45
81,166.599,46
82,166.51,49
83,166.42,47
84,166.33,48
85,166.238,47
86,166.145,49
87,166.051,47
88,165.956,46
89,165.86,46
90,165.763,47
91,165.665,48
92,165.567,46
93,165.469,44
94,165.37,46
95,165.272,49
96,165.174,48
97,165.077,47
98,164.981,44
99,164.886,46
100,164.793,46
101,164.701,46
102,164.612,45
103,164.524,45
104,164.439,47
105,164.356,47
106,164.276,48
107,164.198,45
108,164.122,45
109,164.05,46
110,163.979,46
111,163.911,48
112,163.846,48
113,163.784,47
114,163.723,46
115,163.665,47
116,163.61,47
117,163.556,48
118,163.505,45
119,163.456,47
120,163.409,46
121,163.364,45
122,163.321,46
123,163.28,45
124,163.24,47
125,163.202,46
126,163.166,47
127,163.131,45
128,163.098,46
129,163.066,45
130,163.035,49
131,163.006,45
132,162.978,45
133,162.951,45
134,162.925,46
135,162.9,47
136,162.876,46
137,162.853,45
138,162.831,43
139,162.81,47
140,162.79,49
141,162.77,45
142,162.751,44
143,162.733,47
144,162.715,47
145,162.698,47
146,162.682,45
147,162.667,45
148,162.651,44
149,162.637,46
150,162.623,46
151,162.609,45
152,162.596,45
153,162.583,45
154,162.571,48
155,162.559,47
156,162.547,46
157,162.536,46
158,162.525,45
159,162.515,47
160,162.504,47
161,162.494,44
162,162.485,44
163,162.475,46
164,162.466,46
165,162.458,48
166,162.449,44
167,162.441,46
168,162.433,46
169,162.425,45
170,162.417,48
171,162.41,45
172,162.403,44
173,162.395,46
174,162.389,48
175,162.382,48
176,162.375,46
177,162.369,46
178,162.363,44
179,162.357,49
180,162.351,46
181,162.345,47
182,162.34,45
183,162.334,45
184,162.329,47
185,162.324,47
186,162.319,47
187,162.314,48
188,162.309,45
189,162.304,49
190,162.3,49
191,162.295,46
192,162.291,45
193,162.287,43
194,162.283,48
195,162.279,50
196,162.275,45
197,162.271,45
198,162.267,45
199,162.263,49
