iter,obj,time Aggregate time
0,519802,10,10
1,257798,10,20
2,99332.9,10,30
3,68398.2,9,40
4,61858.1,10,50
5,52753.7,9,60
6,25.0041,9,70
7,22.3132,9,81
8,22.3131,9,91
