iter,obj,time Aggregate time
0,3.19321e+06,148,148
1,1.55916e+06,143,295
2,1.11574e+06,145,444
3,896754,145,593
4,445695,145,743
5,429.702,146,893
6,217.217,147,1044
7,217.21,145,1194
8,217.21,146,1344
