iter,obj,time Aggregate time
0,665156,26,26
1,444952,24,51
2,357168,26,78
3,320385,27,106
4,310174,27,134
5,308388,27,162
6,308038,29,192
7,307939,28,221
8,307896,29,251
9,55455,27,279
10,233.868,29,309
11,233.755,32,342
12,233.755,28,371
