iter,obj,time
0,3.92814e+06,765
1,3.9168e+06,761
2,3.91418e+06,746
3,3.91276e+06,760
4,3.91179e+06,753
5,3.91104e+06,796
6,3.91039e+06,754
7,3.90979e+06,746
8,3.90921e+06,766
9,3.90862e+06,754
10,3.908e+06,752
11,3.90733e+06,768
12,3.90658e+06,750
13,3.90575e+06,750
14,3.90479e+06,761
15,3.90367e+06,839
16,3.90234e+06,801
17,3.9007e+06,784
18,3.89856e+06,748
19,3.8955e+06,746
20,3.89056e+06,741
21,3.88143e+06,753
22,3.86281e+06,742
23,3.82382e+06,767
24,3.74796e+06,748
25,3.62622e+06,741
26,3.47838e+06,796
27,3.34031e+06,755
28,3.23082e+06,747
29,3.14994e+06,779
30,3.09186e+06,744
31,3.05097e+06,731
32,3.02272e+06,754
33,3.00349e+06,771
34,2.99047e+06,746
35,2.98167e+06,747
36,2.97567e+06,731
37,2.97156e+06,732
38,2.96872e+06,784
39,2.96673e+06,787
40,2.96534e+06,752
41,2.96435e+06,746
42,2.96365e+06,752
43,2.96314e+06,790
44,2.96278e+06,753
45,2.96252e+06,774
46,2.96233e+06,742
47,2.96219e+06,749
48,2.96209e+06,772
49,2.96201e+06,747
50,2.96196e+06,829
51,2.96191e+06,762
52,2.96188e+06,787
53,2.96186e+06,720
54,2.96184e+06,765
55,2.96182e+06,785
56,2.96181e+06,760
57,2.9618e+06,748
58,2.96179e+06,745
59,2.96179e+06,774
60,2.96178e+06,739
61,2.96178e+06,775
62,2.96178e+06,767
63,2.96177e+06,774
