iter,obj,time
0,1.40615e+06,2080
1,1.13886e+06,5888
2,414758,2209
3,308497,1985
4,181732,2163
5,87373.7,2009
6,54934.3,1971
7,42628.3,1987
8,33459.7,2050
9,26834.8,2127
10,22439.8,2389
11,18877.4,2144
12,16492.9,2137
13,14386.8,2140
14,12967.6,1970
15,11770.8,2042
16,10933.3,1953
17,10178.5,2076
18,9628.54,1947
19,9129.79,2001
20,8741.75,2137
21,8381.84,1960
22,8081.03,1969
23,7796.86,2055
24,7546.8,1968
25,7307.83,2016
26,7092.98,2073
27,6888.98,1945
28,6702.24,2106
29,6523.64,2105
30,6355.91,1940
31,6200.68,2057
32,6063,1973
33,5945.21,1993
34,5847.46,2089
35,5767.7,2040
36,5703.03,2068
37,5650.45,2002
38,5607.51,2008
39,5572.35,1934
40,5543.82,2108
41,5520.97,2041
42,5503.19,2026
43,5489.66,2124
44,5479.77,1996
45,5472.72,2005
46,5467.95,2167
47,5464.82,1982
48,5462.95,2253
49,5461.86,2100
50,5461.34,1971
51,5461.12,2085
52,5461.04,2021
53,5460.99,1925
54,5460.96,2064
55,5460.94,1908
56,5460.92,2071
57,5460.91,2238
58,5460.89,2123
59,5460.88,2099
60,5460.87,1995
61,5460.86,1917
62,5460.86,2087
63,5460.85,2111
64,5460.84,2009
65,5460.84,2045
